1st,,,2nd,,,3rd,,
19.65,0,20,21.14,0,20,21.01,0,20
19.67,0.02,20.02,21.13,-0.01,19.99,20.95,-0.06,19.94
19.66,0.01,20.01,21.19,0.05,20.05,20.95,-0.06,19.94
19.66,0.01,20.01,21.19,0.05,20.05,20.95,-0.06,19.94
19.66,0.01,20.01,21.15,0.01,20.01,20.95,-0.06,19.94
19.67,0.02,20.02,21.13,-0.01,19.99,20.95,-0.06,19.94
19.69,0.04,20.04,21.13,-0.01,19.99,20.95,-0.06,19.94
19.68,0.03,20.03,21.13,-0.01,19.99,20.95,-0.06,19.94
19.68,0.03,20.03,21.13,-0.01,19.99,20.95,-0.06,19.94
19.68,0.03,20.03,21.12,-0.02,19.98,20.95,-0.06,19.94
19.69,0.04,20.04,21.12,-0.02,19.98,20.96,-0.05,19.95
19.73,0.08,20.08,21.12,-0.02,19.98,20.96,-0.05,19.95
19.75,0.1,20.1,21.12,-0.02,19.98,20.97,-0.04,19.96
19.75,0.1,20.1,21.12,-0.02,19.98,20.99,-0.02,19.98
19.81,0.16,20.16,21.12,-0.02,19.98,21.02,0.01,20.01
19.83,0.18,20.18,21.07,-0.07,19.93,21.04,0.03,20.03
19.83,0.18,20.18,21.04,-0.1,19.9,21.04,0.03,20.03
19.83,0.18,20.18,21.05,-0.09,19.91,21.04,0.03,20.03
19.83,0.18,20.18,21.06,-0.08,19.92,21.04,0.03,20.03
19.83,0.18,20.18,21.12,-0.02,19.98,21.04,0.03,20.03
19.83,0.18,20.18,21.13,-0.01,19.99,21.05,0.04,20.04
19.83,0.18,20.18,21.13,-0.01,19.99,21.09,0.08,20.08
19.83,0.18,20.18,21.13,-0.01,19.99,21.13,0.12,20.12
19.81,0.16,20.16,21.15,0.01,20.01,21.13,0.12,20.12
19.79,0.14,20.14,21.19,0.05,20.05,21.15,0.14,20.14
19.8,0.15,20.15,21.21,0.07,20.07,21.15,0.14,20.14
19.83,0.18,20.18,21.21,0.07,20.07,21.17,0.16,20.16
19.83,0.18,20.18,21.2,0.06,20.06,21.21,0.2,20.2
19.84,0.19,20.19,21.17,0.03,20.03,21.21,0.2,20.2
19.83,0.18,20.18,21.14,0,20,21.21,0.2,20.2
19.83,0.18,20.18,21.13,-0.01,19.99,21.21,0.2,20.2
19.83,0.18,20.18,21.13,-0.01,19.99,21.24,0.23,20.23
19.83,0.18,20.18,21.13,-0.01,19.99,21.29,0.28,20.28
19.83,0.18,20.18,21.13,-0.01,19.99,21.3,0.29,20.29
19.83,0.18,20.18,21.13,-0.01,19.99,21.31,0.3,20.3
19.85,0.2,20.2,21.13,-0.01,19.99,21.36,0.35,20.35
19.91,0.26,20.26,21.14,0,20,21.38,0.37,20.37
19.89,0.24,20.24,21.15,0.01,20.01,21.38,0.37,20.37
19.84,0.19,20.19,21.14,0,20,21.41,0.4,20.4
19.83,0.18,20.18,21.13,-0.01,19.99,21.45,0.44,20.44
19.83,0.18,20.18,21.13,-0.01,19.99,21.47,0.46,20.46
19.83,0.18,20.18,21.13,-0.01,19.99,21.48,0.47,20.47
19.83,0.18,20.18,21.12,-0.02,19.98,21.55,0.54,20.54
19.83,0.18,20.18,21.12,-0.02,19.98,21.56,0.55,20.55
19.84,0.19,20.19,21.13,-0.01,19.99,21.56,0.55,20.55
19.87,0.22,20.22,21.12,-0.02,19.98,21.61,0.6,20.6
19.9,0.25,20.25,21.13,-0.01,19.99,21.64,0.63,20.63
19.9,0.25,20.25,21.13,-0.01,19.99,21.65,0.64,20.64
19.9,0.25,20.25,21.13,-0.01,19.99,21.68,0.67,20.67
19.91,0.26,20.26,21.13,-0.01,19.99,21.73,0.72,20.72
19.92,0.27,20.27,21.13,-0.01,19.99,21.73,0.72,20.72
19.92,0.27,20.27,21.13,-0.01,19.99,21.73,0.72,20.72
20,0.35,20.35,21.13,-0.01,19.99,21.75,0.74,20.74
20,0.35,20.35,21.14,0,20,21.81,0.8,20.8
20,0.35,20.35,21.13,-0.01,19.99,21.82,0.81,20.81
20.01,0.36,20.36,21.15,0.01,20.01,21.86,0.85,20.85
20.02,0.37,20.37,21.16,0.02,20.02,21.9,0.89,20.89
20.02,0.37,20.37,21.16,0.02,20.02,21.91,0.9,20.9
20.02,0.37,20.37,21.2,0.06,20.06,21.91,0.9,20.9
20.09,0.44,20.44,21.19,0.05,20.05,21.96,0.95,20.95
20.09,0.44,20.44,21.2,0.06,20.06,21.99,0.98,20.98
20.1,0.45,20.45,21.21,0.07,20.07,21.99,0.98,20.98
20.17,0.52,20.52,21.21,0.07,20.07,22.03,1.02,21.02
20.18,0.53,20.53,21.21,0.07,20.07,22.08,1.07,21.07
20.21,0.56,20.56,21.19,0.05,20.05,22.08,1.07,21.07
20.26,0.61,20.61,21.16,0.02,20.02,22.12,1.11,21.11
20.26,0.61,20.61,21.13,-0.01,19.99,22.16,1.15,21.15
20.26,0.61,20.61,21.13,-0.01,19.99,22.16,1.15,21.15
20.33,0.68,20.68,21.13,-0.01,19.99,22.17,1.16,21.16
20.4,0.75,20.75,21.13,-0.01,19.99,22.18,1.17,21.17
20.43,0.78,20.78,21.13,-0.01,19.99,22.22,1.21,21.21
20.43,0.78,20.78,21.13,-0.01,19.99,22.25,1.24,21.24
20.39,0.74,20.74,21.13,-0.01,19.99,22.26,1.25,21.25
20.35,0.7,20.7,21.14,0,20,22.32,1.31,21.31
20.36,0.71,20.71,21.13,-0.01,19.99,22.34,1.33,21.33
20.4,0.75,20.75,21.13,-0.01,19.99,22.36,1.35,21.35
20.43,0.78,20.78,21.17,0.03,20.03,22.42,1.41,21.41
20.37,0.72,20.72,21.21,0.07,20.07,22.43,1.42,21.42
20.35,0.7,20.7,21.22,0.08,20.08,22.45,1.44,21.44
20.35,0.7,20.7,21.26,0.12,20.12,22.5,1.49,21.49
20.36,0.71,20.71,21.28,0.14,20.14,22.51,1.5,21.5
20.37,0.72,20.72,21.29,0.15,20.15,22.51,1.5,21.5
20.39,0.74,20.74,21.3,0.16,20.16,22.55,1.54,21.54
20.43,0.78,20.78,21.3,0.16,20.16,22.59,1.58,21.58
20.43,0.78,20.78,21.3,0.16,20.16,22.6,1.59,21.59
20.43,0.78,20.78,21.3,0.16,20.16,22.6,1.59,21.59
20.43,0.78,20.78,21.31,0.17,20.17,22.62,1.61,21.61
20.46,0.81,20.81,21.33,0.19,20.19,22.67,1.66,21.66
20.52,0.87,20.87,21.32,0.18,20.18,22.69,1.68,21.68
20.61,0.96,20.96,21.34,0.2,20.2,22.73,1.72,21.72
20.61,0.96,20.96,21.38,0.24,20.24,22.77,1.76,21.76
20.64,0.99,20.99,21.45,0.31,20.31,22.8,1.79,21.79
20.66,1.01,21.01,21.51,0.37,20.37,22.85,1.84,21.84
20.68,1.03,21.03,21.65,0.51,20.51,22.86,1.85,21.85
20.69,1.04,21.04,21.73,0.59,20.59,22.88,1.87,21.87
20.69,1.04,21.04,21.73,0.59,20.59,22.93,1.92,21.92
20.69,1.04,21.04,21.72,0.58,20.58,22.94,1.93,21.93
20.7,1.05,21.05,21.66,0.52,20.52,22.99,1.98,21.98
20.72,1.07,21.07,21.67,0.53,20.53,23.03,2.02,22.02
20.78,1.13,21.13,21.65,0.51,20.51,23.03,2.02,22.02
20.78,1.13,21.13,21.66,0.52,20.52,23.08,2.07,22.07
20.86,1.21,21.21,21.68,0.54,20.54,23.12,2.11,22.11
20.87,1.22,21.22,21.67,0.53,20.53,23.13,2.12,22.12
20.87,1.22,21.22,21.68,0.54,20.54,23.21,2.2,22.2
20.87,1.22,21.22,21.77,0.63,20.63,23.21,2.2,22.2
20.87,1.22,21.22,21.85,0.71,20.71,23.25,2.24,22.24
20.87,1.22,21.22,21.9,0.76,20.76,23.29,2.28,22.28
20.89,1.24,21.24,21.89,0.75,20.75,23.32,2.31,22.31
20.88,1.23,21.23,21.81,0.67,20.67,23.38,2.37,22.37
20.95,1.3,21.3,21.77,0.63,20.63,23.38,2.37,22.37
21.03,1.38,21.38,21.73,0.59,20.59,23.38,2.37,22.37
21.04,1.39,21.39,21.69,0.55,20.55,23.45,2.44,22.44
21.12,1.47,21.47,21.65,0.51,20.51,23.47,2.46,22.46
21.21,1.56,21.56,21.65,0.51,20.51,23.51,2.5,22.5
21.21,1.56,21.56,21.67,0.53,20.53,23.55,2.54,22.54
21.21,1.56,21.56,21.73,0.59,20.59,23.56,2.55,22.55
21.21,1.56,21.56,21.74,0.6,20.6,23.56,2.55,22.55
21.22,1.57,21.57,21.76,0.62,20.62,23.64,2.63,22.63
21.3,1.65,21.65,21.75,0.61,20.61,23.64,2.63,22.63
21.38,1.73,21.73,21.73,0.59,20.59,23.71,2.7,22.7
21.38,1.73,21.73,21.72,0.58,20.58,23.73,2.72,22.72
21.38,1.73,21.73,21.67,0.53,20.53,23.79,2.78,22.78
21.38,1.73,21.73,21.64,0.5,20.5,23.82,2.81,22.81
21.34,1.69,21.69,21.64,0.5,20.5,23.87,2.86,22.86
21.33,1.68,21.68,21.65,0.51,20.51,23.9,2.89,22.89
21.36,1.71,21.71,21.67,0.53,20.53,23.9,2.89,22.89
21.38,1.73,21.73,21.72,0.58,20.58,23.91,2.9,22.9
21.39,1.74,21.74,21.73,0.59,20.59,23.92,2.91,22.91
21.38,1.73,21.73,21.76,0.62,20.62,23.96,2.95,22.95
21.39,1.74,21.74,21.82,0.68,20.68,23.99,2.98,22.98
21.39,1.74,21.74,21.82,0.68,20.68,24.01,3,23
21.39,1.74,21.74,21.84,0.7,20.7,24.08,3.07,23.07
21.44,1.79,21.79,21.82,0.68,20.68,24.08,3.07,23.07
21.47,1.82,21.82,21.88,0.74,20.74,24.13,3.12,23.12
21.47,1.82,21.82,21.9,0.76,20.76,24.17,3.16,23.16
21.54,1.89,21.89,21.89,0.75,20.75,24.17,3.16,23.16
21.56,1.91,21.91,21.82,0.68,20.68,24.24,3.23,23.23
21.58,1.93,21.93,21.82,0.68,20.68,24.25,3.24,23.24
21.64,1.99,21.99,21.83,0.69,20.69,24.28,3.27,23.27
21.67,2.02,22.02,21.9,0.76,20.76,24.31,3.3,23.3
21.73,2.08,22.08,21.98,0.84,20.84,24.34,3.33,23.33
21.74,2.09,22.09,21.99,0.85,20.85,24.35,3.34,23.34
21.82,2.17,22.17,22.04,0.9,20.9,24.41,3.4,23.4
21.82,2.17,22.17,22.08,0.94,20.94,24.43,3.42,23.42
21.82,2.17,22.17,22.08,0.94,20.94,24.45,3.44,23.44
21.9,2.25,22.25,22.05,0.91,20.91,24.52,3.51,23.51
21.9,2.25,22.25,22.06,0.92,20.92,24.52,3.51,23.51
21.93,2.28,22.28,22.07,0.93,20.93,24.59,3.58,23.58
21.99,2.34,22.34,22.07,0.93,20.93,24.6,3.59,23.59
21.98,2.33,22.33,22.08,0.94,20.94,24.6,3.59,23.59
21.98,2.33,22.33,22.08,0.94,20.94,24.6,3.59,23.59
21.97,2.32,22.32,22.09,0.95,20.95,24.61,3.6,23.6
21.96,2.31,22.31,22.1,0.96,20.96,24.65,3.64,23.64
21.99,2.34,22.34,22.12,0.98,20.98,24.69,3.68,23.68
22.01,2.36,22.36,22.16,1.02,21.02,24.69,3.68,23.68
22.08,2.43,22.43,22.23,1.09,21.09,24.77,3.76,23.76
22.08,2.43,22.43,22.28,1.14,21.14,24.78,3.77,23.77
22.08,2.43,22.43,22.27,1.13,21.13,24.78,3.77,23.77
22.14,2.49,22.49,22.26,1.12,21.12,24.81,3.8,23.8
22.21,2.56,22.56,22.28,1.14,21.14,24.87,3.86,23.86
22.25,2.6,22.6,22.32,1.18,21.18,24.91,3.9,23.9
22.26,2.61,22.61,22.34,1.2,21.2,24.96,3.95,23.95
22.27,2.62,22.62,22.41,1.27,21.27,25.02,4.01,24.01
22.29,2.64,22.64,22.43,1.29,21.29,25.04,4.03,24.03
22.36,2.71,22.71,22.51,1.37,21.37,25.04,4.03,24.03
22.43,2.78,22.78,22.53,1.39,21.39,25.05,4.04,24.04
22.51,2.86,22.86,22.54,1.4,21.4,25.12,4.11,24.11
22.51,2.86,22.86,22.56,1.42,21.42,25.13,4.12,24.12
22.52,2.87,22.87,22.6,1.46,21.46,25.14,4.13,24.13
22.55,2.9,22.9,22.6,1.46,21.46,25.16,4.15,24.15
22.6,2.95,22.95,22.6,1.46,21.46,25.22,4.21,24.21
22.61,2.96,22.96,22.59,1.45,21.45,25.22,4.21,24.21
22.68,3.03,23.03,22.6,1.46,21.46,25.26,4.25,24.25
22.74,3.09,23.09,22.53,1.39,21.39,25.31,4.3,24.3
22.77,3.12,23.12,22.51,1.37,21.37,25.31,4.3,24.3
22.77,3.12,23.12,22.51,1.37,21.37,25.36,4.35,24.35
22.77,3.12,23.12,22.51,1.37,21.37,25.39,4.38,24.38
22.77,3.12,23.12,22.51,1.37,21.37,25.4,4.39,24.39
22.77,3.12,23.12,22.51,1.37,21.37,25.44,4.43,24.43
22.78,3.13,23.13,22.51,1.37,21.37,25.48,4.47,24.47
22.86,3.21,23.21,22.51,1.37,21.37,25.5,4.49,24.49
22.86,3.21,23.21,22.51,1.37,21.37,25.48,4.47,24.47
22.86,3.21,23.21,22.5,1.36,21.36,25.48,4.47,24.47
22.86,3.21,23.21,22.47,1.33,21.33,25.52,4.51,24.51
22.86,3.21,23.21,22.44,1.3,21.3,25.57,4.56,24.56
22.86,3.21,23.21,22.51,1.37,21.37,25.62,4.61,24.61
22.86,3.21,23.21,22.51,1.37,21.37,25.67,4.66,24.66
22.86,3.21,23.21,22.52,1.38,21.38,25.74,4.73,24.73
22.86,3.21,23.21,22.59,1.45,21.45,25.76,4.75,24.75
22.86,3.21,23.21,22.6,1.46,21.46,25.81,4.8,24.8
22.94,3.29,23.29,22.61,1.47,21.47,25.83,4.82,24.82
22.94,3.29,23.29,22.68,1.54,21.54,25.85,4.84,24.84
22.99,3.34,23.34,22.74,1.6,21.6,25.86,4.85,24.85
23.02,3.37,23.37,22.79,1.65,21.65,25.92,4.91,24.91
23.03,3.38,23.38,22.84,1.7,21.7,25.93,4.92,24.92
23.03,3.38,23.38,22.86,1.72,21.72,25.95,4.94,24.94
23.05,3.4,23.4,22.82,1.68,21.68,26,4.99,24.99
23.12,3.47,23.47,22.85,1.71,21.71,,,
23.12,3.47,23.47,22.79,1.65,21.65,,,
23.12,3.47,23.47,22.84,1.7,21.7,,,
23.13,3.48,23.48,22.86,1.72,21.72,,,
23.17,3.52,23.52,22.86,1.72,21.72,,,
23.13,3.48,23.48,22.85,1.71,21.71,,,
23.15,3.5,23.5,22.86,1.72,21.72,,,
23.2,3.55,23.55,22.85,1.71,21.71,,,
23.21,3.56,23.56,22.8,1.66,21.66,,,
23.21,3.56,23.56,22.8,1.66,21.66,,,
23.22,3.57,23.57,22.87,1.73,21.73,,,
23.29,3.64,23.64,23.03,1.89,21.89,,,
23.29,3.64,23.64,23.12,1.98,21.98,,,
23.32,3.67,23.67,23.15,2.01,22.01,,,
23.38,3.73,23.73,23.12,1.98,21.98,,,
23.38,3.73,23.73,23.03,1.89,21.89,,,
23.42,3.77,23.77,23.04,1.9,21.9,,,
23.47,3.82,23.82,23.04,1.9,21.9,,,
23.55,3.9,23.9,23.03,1.89,21.89,,,
23.56,3.91,23.91,23.15,2.01,22.01,,,
23.58,3.93,23.93,23.21,2.07,22.07,,,
23.64,3.99,23.99,23.21,2.07,22.07,,,
23.64,3.99,23.99,23.27,2.13,22.13,,,
23.65,4,24,23.29,2.15,22.15,,,
23.72,4.07,24.07,23.39,2.25,22.25,,,
23.64,3.99,23.99,23.47,2.33,22.33,,,
23.64,3.99,23.99,23.46,2.32,22.32,,,
23.64,3.99,23.99,23.46,2.32,22.32,,,
23.69,4.04,24.04,23.46,2.32,22.32,,,
23.73,4.08,24.08,23.47,2.33,22.33,,,
23.83,4.18,24.18,23.47,2.33,22.33,,,
23.83,4.18,24.18,23.43,2.29,22.29,,,
23.82,4.17,24.17,23.44,2.3,22.3,,,
23.82,4.17,24.17,23.44,2.3,22.3,,,
23.82,4.17,24.17,23.46,2.32,22.32,,,
23.82,4.17,24.17,23.47,2.33,22.33,,,
23.82,4.17,24.17,23.49,2.35,22.35,,,
23.82,4.17,24.17,23.55,2.41,22.41,,,
23.82,4.17,24.17,23.64,2.5,22.5,,,
23.82,4.17,24.17,23.72,2.58,22.58,,,
23.82,4.17,24.17,23.65,2.51,22.51,,,
23.87,4.22,24.22,23.63,2.49,22.49,,,
23.93,4.28,24.28,23.55,2.41,22.41,,,
24.05,4.4,24.4,23.54,2.4,22.4,,,
24.09,4.44,24.44,23.47,2.33,22.33,,,
24.08,4.43,24.43,23.51,2.37,22.37,,,
24.17,4.52,24.52,23.55,2.41,22.41,,,
24.19,4.54,24.54,23.55,2.41,22.41,,,
24.25,4.6,24.6,23.54,2.4,22.4,,,
24.34,4.69,24.69,23.47,2.33,22.33,,,
24.43,4.78,24.78,23.52,2.38,22.38,,,
24.43,4.78,24.78,23.56,2.42,22.42,,,
24.43,4.78,24.78,23.65,2.51,22.51,,,
24.43,4.78,24.78,23.75,2.61,22.61,,,
24.51,4.86,24.86,23.75,2.61,22.61,,,
24.52,4.87,24.87,23.74,2.6,22.6,,,
24.5,4.85,24.85,23.74,2.6,22.6,,,
24.39,4.74,24.74,23.79,2.65,22.65,,,
24.33,4.68,24.68,23.85,2.71,22.71,,,
24.32,4.67,24.67,23.9,2.76,22.76,,,
24.43,4.78,24.78,23.93,2.79,22.79,,,
24.59,4.94,24.94,23.97,2.83,22.83,,,
24.69,5.04,25.04,23.91,2.77,22.77,,,
24.69,5.04,,23.89,2.75,22.75,,,
24.78,5.13,,23.86,2.72,22.72,,,
24.8,5.15,,23.85,2.71,22.71,,,
24.79,5.14,,23.77,2.63,22.63,,,
24.78,5.13,,23.66,2.52,22.52,,,
24.78,5.13,,23.65,2.51,22.51,,,
24.81,5.16,,23.73,2.59,22.59,,,
24.86,5.21,,23.77,2.63,22.63,,,
24.85,5.2,,23.82,2.68,22.68,,,
24.82,5.17,,23.92,2.78,22.78,,,
24.87,5.22,,24.05,2.91,22.91,,,
24.87,5.22,,24.15,3.01,23.01,,,
24.96,5.31,,24.25,3.11,23.11,,,
24.92,5.27,,24.4,3.26,23.26,,,
24.96,5.31,,24.52,3.38,23.38,,,
24.96,5.31,,24.6,3.46,23.46,,,
24.95,5.3,,24.66,3.52,23.52,,,
24.95,5.3,,24.71,3.57,23.57,,,
24.96,5.31,,24.84,3.7,23.7,,,
25.02,5.37,,24.87,3.73,23.73,,,
,,,24.87,3.73,23.73,,,
,,,24.78,3.64,23.64,,,
,,,24.68,3.54,23.54,,,
,,,24.6,3.46,23.46,,,
,,,24.52,3.38,23.38,,,
,,,24.5,3.36,23.36,,,
,,,24.49,3.35,23.35,,,
,,,24.5,3.36,23.36,,,
,,,24.44,3.3,23.3,,,
,,,24.51,3.37,23.37,,,
,,,24.58,3.44,23.44,,,
,,,24.59,3.45,23.45,,,
,,,24.6,3.46,23.46,,,
,,,24.63,3.49,23.49,,,
,,,24.69,3.55,23.55,,,
,,,24.71,3.57,23.57,,,
,,,24.77,3.63,23.63,,,
,,,24.79,3.65,23.65,,,
,,,24.87,3.73,23.73,,,
,,,24.87,3.73,23.73,,,
,,,24.87,3.73,23.73,,,
,,,24.95,3.81,23.81,,,
,,,24.98,3.84,23.84,,,
,,,25.04,3.9,23.9,,,
,,,25.11,3.97,23.97,,,
,,,25.12,3.98,23.98,,,
,,,25.13,3.99,23.99,,,
,,,25.13,3.99,23.99,,,
,,,25.12,3.98,23.98,,,
,,,25.08,3.94,23.94,,,
,,,25.12,3.98,23.98,,,
,,,25.19,4.05,24.05,,,
,,,25.23,4.09,24.09,,,
,,,25.31,4.17,24.17,,,
,,,25.4,4.26,24.26,,,
,,,25.45,4.31,24.31,,,
,,,25.33,4.19,24.19,,,
,,,25.16,4.02,24.02,,,
,,,25.04,3.9,23.9,,,
,,,25.04,3.9,23.9,,,
,,,25.04,3.9,23.9,,,
,,,24.98,3.84,23.84,,,
,,,24.94,3.8,23.8,,,
,,,24.96,3.82,23.82,,,
,,,25.02,3.88,23.88,,,
,,,25.01,3.87,23.87,,,
,,,24.96,3.82,23.82,,,
,,,24.96,3.82,23.82,,,
,,,24.88,3.74,23.74,,,
,,,24.85,3.71,23.71,,,
,,,24.87,3.73,23.73,,,
,,,24.98,3.84,23.84,,,
,,,25.14,4,24,,,
,,,25.3,4.16,24.16,,,
,,,25.4,4.26,24.26,,,
,,,25.49,4.35,24.35,,,
,,,25.57,4.43,24.43,,,
,,,25.57,4.43,24.43,,,
,,,25.65,4.51,24.51,,,
,,,25.66,4.52,24.52,,,
,,,25.73,4.59,24.59,,,
,,,25.74,4.6,24.6,,,
,,,25.71,4.57,24.57,,,
,,,25.66,4.52,24.52,,,
,,,25.66,4.52,24.52,,,
,,,25.67,4.53,24.53,,,
,,,25.75,4.61,24.61,,,
,,,25.84,4.7,24.7,,,
,,,25.84,4.7,24.7,,,
,,,25.83,4.69,24.69,,,
,,,25.76,4.62,24.62,,,
,,,25.75,4.61,24.61,,,
,,,25.74,4.6,24.6,,,
,,,25.7,4.56,24.56,,,
,,,25.64,4.5,24.5,,,
,,,25.47,4.33,24.33,,,
,,,25.36,4.22,24.22,,,
,,,25.32,4.18,24.18,,,
,,,25.32,4.18,24.18,,,
,,,25.37,4.23,24.23,,,
,,,25.4,4.26,24.26,,,
,,,25.43,4.29,24.29,,,
,,,25.46,4.32,24.32,,,
,,,25.48,4.34,24.34,,,
,,,25.49,4.35,24.35,,,
,,,25.53,4.39,24.39,,,
,,,25.57,4.43,24.43,,,
,,,25.5,4.36,24.36,,,
,,,25.51,4.37,24.37,,,
,,,25.57,4.43,24.43,,,
,,,25.61,4.47,24.47,,,
,,,25.7,4.56,24.56,,,
,,,25.73,4.59,24.59,,,
,,,25.75,4.61,24.61,,,
,,,25.83,4.69,24.69,,,
,,,25.82,4.68,24.68,,,
,,,25.76,4.62,24.62,,,
,,,25.8,4.66,24.66,,,
,,,25.79,4.65,24.65,,,
,,,25.75,4.61,24.61,,,
,,,25.75,4.61,24.61,,,
,,,25.75,4.61,24.61,,,
,,,25.66,4.52,24.52,,,
,,,25.59,4.45,24.45,,,
,,,25.58,4.44,24.44,,,
,,,25.63,4.49,24.49,,,
,,,25.67,4.53,24.53,,,
,,,25.75,4.61,24.61,,,
,,,25.8,4.66,24.66,,,
,,,25.84,4.7,24.7,,,
,,,25.84,4.7,24.7,,,
,,,25.77,4.63,24.63,,,
,,,25.8,4.66,24.66,,,
,,,25.84,4.7,24.7,,,
,,,25.93,4.79,24.79,,,
,,,25.93,4.79,24.79,,,
,,,25.93,4.79,24.79,,,
,,,25.95,4.81,24.81,,,
,,,26.01,4.87,24.87,,,
,,,26.02,4.88,24.88,,,
,,,26.1,4.96,24.96,,,
,,,26.1,4.96,24.96,,,
,,,26.11,4.97,24.97,,,
,,,26.19,5.05,25.05,,,
,,,26.21,5.07,,,,
,,,26.29,5.15,,,,
,,,26.28,5.14,,,,
,,,26.28,5.14,,,,
,,,26.32,5.18,,,,
,,,26.37,5.23,,,,
,,,26.41,5.27,,,,
,,,26.45,5.31,,,,
,,,26.44,5.3,,,,
,,,26.37,5.23,,,,
,,,26.36,5.22,,,,
,,,26.28,5.14,,,,
,,,26.28,5.14,,,,
,,,26.28,5.14,,,,
,,,26.28,5.14,,,,
,,,26.28,5.14,,,,
,,,26.34,5.2,,,,
,,,26.28,5.14,,,,
,,,26.17,5.03,,,,
,,,26.09,4.95,,,,
,,,26.02,4.88,,,,
,,,25.98,4.84,,,,
,,,25.84,4.7,,,,
,,,25.75,4.61,,,,
,,,25.75,4.61,,,,
,,,25.75,4.61,,,,
,,,25.82,4.68,,,,
,,,25.81,4.67,,,,
,,,25.84,4.7,,,,
,,,25.8,4.66,,,,
,,,25.79,4.65,,,,
,,,25.84,4.7,,,,
,,,25.93,4.79,,,,
,,,26.01,4.87,,,,
,,,26.1,4.96,,,,
,,,26.1,4.96,,,,
,,,26.01,4.87,,,,
,,,26.02,4.88,,,,
,,,25.96,4.82,,,,
,,,25.89,4.75,,,,
,,,25.89,4.75,,,,
,,,25.95,4.81,,,,
,,,26.08,4.94,,,,
,,,26.12,4.98,,,,
,,,26.11,4.97,,,,
,,,26.1,4.96,,,,
,,,26.01,4.87,,,,
,,,25.91,4.77,,,,
,,,25.84,4.7,,,,
,,,25.91,4.77,,,,
,,,25.84,4.7,,,,
,,,25.84,4.7,,,,
,,,25.92,4.78,,,,
,,,25.99,4.85,,,,
,,,26.1,4.96,,,,
,,,26.29,5.15,,,,
,,,26.42,5.28,,,,
,,,26.46,5.32,,,,
,,,26.52,5.38,,,,
,,,26.56,5.42,,,,
,,,26.57,5.43,,,,
,,,26.44,5.3,,,,
,,,26.34,5.2,,,,
,,,26.19,5.05,,,,
,,,26.16,5.02,,,,
,,,26.07,4.93,,,,
,,,26.02,4.88,,,,
,,,26.02,4.88,,,,
,,,26.02,4.88,,,,
,,,26.12,4.98,,,,
,,,26.33,5.19,,,,
,,,26.55,5.41,,,,
,,,26.64,5.5,,,,
,,,26.72,5.58,,,,
,,,26.63,5.49,,,,
,,,26.55,5.41,,,,
,,,26.46,5.32,,,,
