1000mA,,1500mA,,2000mA,,,1A,,,1000mA,,1500mA,,2000mA,
In,Out,In,Out,In,Out,,1.5A,2min 21s,,In,Out,In,Out,In,Out
16.37,21.26,17.26,17.9,22.76,22.2,,2A,1min 35s,,20,,20,,20,
16.39,20.79,17.25,17.78,22.77,22.17,,,,,20.02,,19.99,,20.01,
16.52,21.14,17.16,17.58,22.82,22.17,,,,,20.15,,19.9,,20.06,
16.66,21.47,17.16,17.48,22.86,22.17,,,,,20.29,,19.9,,20.1,
16.8,21.78,17.16,17.42,22.95,22.26,,,,,20.43,,19.9,,20.19,
16.97,22.29,17.16,17.57,23.07,22.3,,,,,20.6,,19.9,,20.31,
17.14,22.47,17.21,17.9,23.2,22.48,,,,,20.77,,19.95,,20.44,
17.33,22.72,17.33,18.08,23.35,22.52,,,,,20.96,,20.07,,20.59,
17.52,23.03,17.49,18.25,23.53,22.44,,,,,21.15,,20.23,,20.77,
17.72,23.38,17.71,18.67,23.73,22.43,,,,,21.35,,20.45,,20.97,
17.93,24.29,17.97,18.91,23.96,22.35,,,,,21.56,,20.71,,21.2,
18.14,25.06,18.26,19.34,24.21,22.28,,,,,21.77,,21,,21.45,
18.34,25.56,18.59,20.02,24.48,22.26,,,,,21.97,,21.33,,21.72,
18.56,26.14,18.97,20.75,24.79,22.18,,,,,22.19,,21.71,,22.03,
18.78,26.74,19.36,20.64,25.12,22.19,,,,,22.41,,22.1,,22.36,
19.01,27.25,19.76,20.7,25.45,22.24,,,,,22.64,,22.5,,22.69,
19.23,27.28,20.19,20.85,25.82,22.26,,,,,22.86,,22.93,,23.06,
19.46,27.32,20.65,20.87,26.2,22.26,,,,,23.09,,23.39,,23.44,
19.67,27.66,21.1,21.2,26.6,22.27,,,,,23.3,,23.84,,23.84,
19.89,28.01,21.57,21.85,27.01,22.34,,,,,23.52,,24.31,,24.25,
20.18,28.51,22.04,21.96,27.43,22.35,,,,,23.81,,24.78,,24.67,
20.4,28.83,22.51,22.25,27.88,22.42,,,,,24.03,,25.25,,25.12,
20.61,28.72,22.99,22.84,28.34,22.44,,,,,24.24,,25.73,,25.58,
20.81,28.53,23.48,23.4,28.81,22.45,,,,,24.44,,26.22,,26.05,
20.99,28.24,23.97,23.58,29.28,22.53,,,,,24.62,,26.71,,26.52,
21.13,27.99,24.44,23.64,29.79,22.62,,,,,24.76,,27.18,,27.03,
21.27,27.66,24.93,23.98,30.28,22.68,,,,,24.9,,27.67,,27.52,
21.38,27.32,25.4,24.33,30.81,22.73,,,,,25.01,,28.14,,28.05,
21.26,26.9,25.87,24.33,31.32,22.85,,,,,24.89,,28.61,,28.56,
21.13,26.53,26.34,24.09,31.85,22.95,,,,,24.76,,29.08,,29.09,
21.03,26.18,26.8,24.43,32.37,23.06,,,,,24.66,,29.54,,29.61,
20.93,25.89,27.27,24.26,32.9,23.21,,,,,24.56,,30.01,,30.14,
20.86,25.62,27.72,23.99,33.46,23.32,,,,,24.49,,30.46,,30.7,
20.78,25.37,28.16,23.67,34,23.44,,,,,24.41,,30.9,,31.24,
20.69,25.14,28.61,23.53,34.54,23.56,,,,,24.32,,31.35,,31.78,
20.63,24.88,29.05,23.38,35.1,23.68,,,,,24.26,,31.79,,32.34,
20.6,24.68,29.47,23.38,35.64,23.8,,,,,24.23,,32.21,,32.88,
20.52,24.47,29.91,23.53,36.21,23.95,,,,,24.15,,32.65,,33.45,
20.52,24.24,30.36,24.19,36.78,24.13,,,,,24.15,,33.1,,34.02,
20.44,24.05,30.78,25.75,37.33,24.34,,,,,24.07,,33.52,,34.57,
20.43,23.89,31.2,26.14,37.89,24.76,,,,,24.06,,33.94,,35.13,
20.41,23.69,31.61,26.3,38.45,24.98,,,,,24.04,,34.35,,35.69,
20.35,23.56,32.03,26.7,39,25.02,,,,,23.98,,34.77,,36.24,
20.35,23.36,32.44,26.56,39.58,25.1,,,,,23.98,,35.18,,36.82,
20.33,23.24,32.84,26.42,40.16,25.11,,,,,23.96,,35.58,,37.4,
20.27,23.15,33.24,26.4,40.71,25.17,,,,,23.9,,35.98,,37.95,
20.26,23.05,33.64,26.3,41.27,25.31,,,,,23.89,,36.38,,38.51,
20.26,22.96,34.03,26.2,41.85,25.44,,,,,23.89,,36.77,,39.09,
20.22,22.85,34.4,27.03,42.41,25.54,,,,,23.85,,37.14,,39.65,
20.17,22.73,34.79,27.46,42.98,25.66,,,,,23.8,,37.53,,40.22,
20.17,23.83,35.17,27.11,43.55,25.79,,,,,23.8,,37.91,,40.79,
20.08,23.11,35.54,27.13,44.13,25.96,,,,,23.71,,38.28,,41.37,
20.08,23.43,35.91,27.42,44.67,26.1,,,,,23.71,,38.65,,41.91,
20.07,23.81,36.28,27.29,45.26,26.27,,,,,23.7,,39.02,,42.5,
20.08,24.2,36.65,27.26,45.81,26.38,,,,,23.71,,39.39,,43.05,
20.09,24.91,37.01,27.3,46.38,26.51,,,,,23.72,,39.75,,43.62,
20.09,25.64,37.37,27.54,46.93,26.65,,,,,23.72,,40.11,,44.17,
20.18,26.18,37.72,27.47,47.5,26.84,,,,,23.81,,40.46,,44.74,
20.21,26.61,38.08,27.63,48.05,27.01,,,,,23.84,,40.82,,45.29,
20.26,26.85,38.43,27.53,48.6,27.1,,,,,23.89,,41.17,,45.84,
20.35,27.28,38.78,28.19,49.16,27.3,,,,,23.98,,41.52,,46.4,
20.43,27.54,39.13,28.05,49.72,27.52,,,,,24.06,,41.87,,46.96,
20.53,27.59,39.48,27.81,50.26,27.65,,,,,24.16,,42.22,,47.5,
20.62,28.25,39.84,27.92,50.8,27.89,,,,,24.25,,42.58,,48.04,
20.74,28.76,40.19,27.86,51.37,28.05,,,,,24.37,,42.93,,48.61,
20.86,29.46,40.51,28.21,51.92,28.55,,,,,24.49,,43.25,,49.16,
20.96,29.99,40.86,28.43,52.5,28.9,,,,,24.59,,43.6,,49.74,
21.1,30.28,41.19,28.72,53,29.09,,,,,24.73,,43.93,,50.24,
21.21,30.69,41.53,28.95,53.53,29.12,,,,,24.84,,44.27,,50.77,
21.35,31.03,41.86,29.06,54.08,29.3,,,,,24.98,,44.6,,51.32,
21.48,31.53,42.19,29.08,54.62,29.46,,,,,25.11,,44.93,,51.86,
21.63,32.21,42.52,29.01,55.16,29.66,,,,,25.26,,45.26,,52.4,
21.77,32.58,42.85,29.88,55.7,29.9,,,,,25.4,,45.59,,52.94,
21.91,32.68,43.18,30.34,56.24,30.2,,,,,25.54,,45.92,,53.48,
22.07,33.14,43.51,30.39,56.75,30.38,,,,,25.7,,46.25,,53.99,
22.21,33.64,43.81,30.24,57.29,30.44,,,,,25.84,,46.55,,54.53,
22.35,33.8,44.13,30.11,57.82,30.61,,,,,25.98,,46.87,,55.06,
22.51,34.07,44.46,30.05,58.35,30.81,,,,,26.14,,47.2,,55.59,
22.67,34.41,44.77,30.44,58.88,30.95,,,,,26.3,,47.51,,56.12,
22.82,34.52,45.09,30.39,59.4,31.11,,,,,26.45,,47.83,,56.64,
22.96,34.62,45.41,30.17,59.93,31.29,,,,,26.59,,48.15,,57.17,
23.12,34.78,45.7,30.36,60.45,31.44,,,,,26.75,,48.44,,57.69,
23.27,34.75,46.02,30.63,60.96,31.58,,,,,26.9,,48.76,,58.2,
23.43,34.73,46.34,30.39,61.51,31.75,,,,,27.06,,49.08,,58.75,
23.58,34.61,46.64,30.74,62.01,31.87,,,,,27.21,,49.38,,59.25,
23.73,34.38,46.95,31.99,62.55,31.98,,,,,27.36,,49.69,,59.79,
23.89,34.73,47.26,32.64,63.07,32.16,,,,,27.52,,50,,60.31,
24.03,35,47.54,33.7,63.56,32.35,,,,,27.66,,50.28,,60.8,
24.18,35.26,47.86,34.23,64.08,32.53,,,,,27.81,,50.6,,61.32,
24.33,35.35,48.15,34.22,64.63,32.77,,,,,27.96,,50.89,,61.87,
24.48,35.42,48.46,33.77,65.12,32.93,,,,,28.11,,51.2,,62.36,
24.63,34.83,48.75,33.35,65.62,33.14,,,,,28.26,,51.49,,62.86,
24.79,34.57,49.05,33.08,66.14,33.38,,,,,28.42,,51.79,,63.38,
24.94,34.43,49.35,33.13,66.64,33.54,,,,,28.57,,52.09,,63.88,
25.09,34.19,49.66,33.28,67.17,33.75,,,,,28.72,,52.4,,64.41,
25.23,34.6,49.93,33.42,67.7,33.95,,,,,28.86,,52.67,,64.94,
25.38,34.95,50.23,33.22,,,,,,,29.01,,52.97,,,
25.53,35.47,50.52,33.1,,,,,,,29.16,,53.26,,,
25.67,35.96,50.82,33.18,,,,,,,29.3,,53.56,,,
25.83,36.33,51.11,33.16,,,,,,,29.46,,53.85,,,
25.97,36.7,51.4,34.13,,,,,,,29.6,,54.14,,,
26.1,36.85,51.69,35.27,,,,,,,29.73,,54.43,,,
26.25,36.95,51.97,35.46,,,,,,,29.88,,54.71,,,
26.38,37.16,52.25,36.44,,,,,,,30.01,,54.99,,,
26.53,37.17,52.54,37.53,,,,,,,30.16,,55.28,,,
26.66,37.3,52.83,38.36,,,,,,,30.29,,55.57,,,
26.81,37.36,53.1,38.5,,,,,,,30.44,,55.84,,,
26.93,37.03,53.39,38.27,,,,,,,30.56,,56.13,,,
27.08,36.47,53.67,37.81,,,,,,,30.71,,56.41,,,
27.21,36.17,53.96,37.28,,,,,,,30.84,,56.7,,,
27.35,36.02,54.23,36.93,,,,,,,30.98,,56.97,,,
27.49,36.23,54.5,37.05,,,,,,,31.12,,57.24,,,
27.62,36.06,54.78,36.82,,,,,,,31.25,,57.52,,,
27.75,36.02,55.07,36.5,,,,,,,31.38,,57.81,,,
27.89,35.66,55.32,35.97,,,,,,,31.52,,58.06,,,
28.01,35.58,55.62,35.95,,,,,,,31.64,,58.36,,,
28.15,35.48,55.89,36.01,,,,,,,31.78,,58.63,,,
28.27,35.74,56.18,36.09,,,,,,,31.9,,58.92,,,
28.42,36.1,56.44,36.86,,,,,,,32.05,,59.18,,,
28.53,36.64,56.7,37.43,,,,,,,32.16,,59.44,,,
28.66,37.3,56.96,37.39,,,,,,,32.29,,59.7,,,
28.8,37.39,57.23,36.94,,,,,,,32.43,,59.97,,,
28.93,37.47,57.5,36.6,,,,,,,32.56,,60.24,,,
29.07,37.66,57.76,36.21,,,,,,,32.7,,60.5,,,
29.18,37.91,58.02,36.35,,,,,,,32.81,,60.76,,,
29.3,38.19,58.29,37.4,,,,,,,32.93,,61.03,,,
29.44,38.53,58.57,37.98,,,,,,,33.07,,61.31,,,
29.56,38.84,58.82,38.88,,,,,,,33.19,,61.56,,,
29.7,38.7,59.1,39.74,,,,,,,33.33,,61.84,,,
29.8,38.69,59.34,39.73,,,,,,,33.43,,62.08,,,
29.94,39.03,59.59,40.25,,,,,,,33.57,,62.33,,,
30.08,39.13,59.83,39.96,,,,,,,33.71,,62.57,,,
30.19,39,60.13,39.36,,,,,,,33.82,,62.87,,,
30.32,38.77,60.39,38.93,,,,,,,33.95,,63.13,,,
30.44,38.52,60.65,38.7,,,,,,,34.07,,63.39,,,
30.55,38.42,60.89,38.63,,,,,,,34.18,,63.63,,,
30.68,37.54,61.16,38.14,,,,,,,34.31,,63.9,,,
30.8,37.49,61.4,37.39,,,,,,,34.43,,64.14,,,
30.91,37.33,61.68,37.53,,,,,,,34.54,,64.42,,,
31.03,37.28,61.9,38.07,,,,,,,34.66,,64.64,,,
31.16,37.29,62.18,37.8,,,,,,,34.79,,64.92,,,
31.28,37.64,,,,,,,,,34.91,,,,,
31.39,37.61,,,,,,,,,35.02,,,,,
31.5,37.95,,,,,,,,,35.13,,,,,
31.63,37.51,,,,,,,,,35.26,,,,,
31.75,37.3,,,,,,,,,35.38,,,,,
31.86,37.4,,,,,,,,,35.49,,,,,
31.98,37.24,,,,,,,,,35.61,,,,,
32.11,37.3,,,,,,,,,35.74,,,,,
32.22,37.3,,,,,,,,,35.85,,,,,
32.33,37.1,,,,,,,,,35.96,,,,,
32.44,37.08,,,,,,,,,36.07,,,,,
32.56,37.44,,,,,,,,,36.19,,,,,
32.68,37.73,,,,,,,,,36.31,,,,,
32.79,37.71,,,,,,,,,36.42,,,,,
32.89,37.82,,,,,,,,,36.52,,,,,
33.01,37.85,,,,,,,,,36.64,,,,,
33.13,38.41,,,,,,,,,36.76,,,,,
33.25,38.12,,,,,,,,,36.88,,,,,
33.37,37.55,,,,,,,,,37,,,,,
33.47,38.06,,,,,,,,,37.1,,,,,
33.58,38.5,,,,,,,,,37.21,,,,,
33.69,38.9,,,,,,,,,37.32,,,,,
33.8,39.04,,,,,,,,,37.43,,,,,
33.92,39.27,,,,,,,,,37.55,,,,,
34.03,39.32,,,,,,,,,37.66,,,,,
34.14,39.64,,,,,,,,,37.77,,,,,
34.24,39.71,,,,,,,,,37.87,,,,,
34.34,40.12,,,,,,,,,37.97,,,,,
34.43,40.47,,,,,,,,,38.06,,,,,
34.54,40.51,,,,,,,,,38.17,,,,,
34.67,40.9,,,,,,,,,38.3,,,,,
34.77,41.34,,,,,,,,,38.4,,,,,
34.88,41.27,,,,,,,,,38.51,,,,,
35,41.08,,,,,,,,,38.63,,,,,
35.11,40.8,,,,,,,,,38.74,,,,,
35.2,40.6,,,,,,,,,38.83,,,,,
35.31,40.39,,,,,,,,,38.94,,,,,
35.41,39.46,,,,,,,,,39.04,,,,,
35.51,38.73,,,,,,,,,39.14,,,,,
35.62,39.33,,,,,,,,,39.25,,,,,
35.72,39.11,,,,,,,,,39.35,,,,,
35.81,38.62,,,,,,,,,39.44,,,,,
35.92,38.46,,,,,,,,,39.55,,,,,
36.03,39.34,,,,,,,,,39.66,,,,,
36.14,39.97,,,,,,,,,39.77,,,,,
36.26,39.67,,,,,,,,,39.89,,,,,
36.35,39.62,,,,,,,,,39.98,,,,,
36.47,39.81,,,,,,,,,40.1,,,,,
36.58,39.93,,,,,,,,,40.21,,,,,
36.69,40.2,,,,,,,,,40.32,,,,,
36.79,39.78,,,,,,,,,40.42,,,,,
36.9,39.97,,,,,,,,,40.53,,,,,
36.99,39.98,,,,,,,,,40.62,,,,,
37.09,39.72,,,,,,,,,40.72,,,,,
37.21,39.91,,,,,,,,,40.84,,,,,
37.31,39.98,,,,,,,,,40.94,,,,,
37.4,39.82,,,,,,,,,41.03,,,,,
37.51,39.64,,,,,,,,,41.14,,,,,
37.6,39.15,,,,,,,,,41.23,,,,,
37.7,38.74,,,,,,,,,41.33,,,,,
37.79,38.54,,,,,,,,,41.42,,,,,
37.89,38.61,,,,,,,,,41.52,,,,,
37.98,38.5,,,,,,,,,41.61,,,,,
38.07,38.42,,,,,,,,,41.7,,,,,
38.17,38.92,,,,,,,,,41.8,,,,,
38.27,39.12,,,,,,,,,41.9,,,,,
38.37,39.45,,,,,,,,,42,,,,,
38.47,39.67,,,,,,,,,42.1,,,,,
38.57,40.33,,,,,,,,,42.2,,,,,
38.67,40.08,,,,,,,,,42.3,,,,,
38.77,40.16,,,,,,,,,42.4,,,,,
38.88,40.49,,,,,,,,,42.51,,,,,
38.98,41.32,,,,,,,,,42.61,,,,,
39.07,41.49,,,,,,,,,42.7,,,,,
39.16,40.67,,,,,,,,,42.79,,,,,
39.25,40.38,,,,,,,,,42.88,,,,,
39.34,40.84,,,,,,,,,42.97,,,,,
39.43,41.33,,,,,,,,,43.06,,,,,
39.52,41.24,,,,,,,,,43.15,,,,,
39.62,41.19,,,,,,,,,43.25,,,,,
39.73,40.72,,,,,,,,,43.36,,,,,
39.83,40.9,,,,,,,,,43.46,,,,,
39.93,41.1,,,,,,,,,43.56,,,,,
40.01,41.4,,,,,,,,,43.64,,,,,
40.11,42.02,,,,,,,,,43.74,,,,,
40.18,42.37,,,,,,,,,43.81,,,,,
40.27,42.4,,,,,,,,,43.9,,,,,
40.37,41.98,,,,,,,,,44,,,,,
40.48,42.25,,,,,,,,,44.11,,,,,
40.57,42.5,,,,,,,,,44.2,,,,,
40.65,43.06,,,,,,,,,44.28,,,,,
40.74,43.52,,,,,,,,,44.37,,,,,
40.83,43.56,,,,,,,,,44.46,,,,,
40.92,43.95,,,,,,,,,44.55,,,,,
41.02,44.34,,,,,,,,,44.65,,,,,
41.13,44.59,,,,,,,,,44.76,,,,,
41.22,44.67,,,,,,,,,44.85,,,,,
41.3,45.15,,,,,,,,,44.93,,,,,
41.37,45.34,,,,,,,,,45,,,,,
41.46,45.68,,,,,,,,,45.09,,,,,
41.57,45.95,,,,,,,,,45.2,,,,,
41.68,45.51,,,,,,,,,45.31,,,,,
41.76,45.04,,,,,,,,,45.39,,,,,
41.83,43.97,,,,,,,,,45.46,,,,,
41.91,44.15,,,,,,,,,45.54,,,,,
42.01,44.01,,,,,,,,,45.64,,,,,
42.12,43.9,,,,,,,,,45.75,,,,,
42.21,43.75,,,,,,,,,45.84,,,,,
42.26,43.42,,,,,,,,,45.89,,,,,
