Colourimetric 1,,Colourimetric 2,,Colourimetric 3,
Temp,PWM,Temp,PWM,Temp,PWM
23.63,255,,,,
23.63,255,,,,
23.72,253.14,,,,
23.51,255,,,,
23.51,255,,,,
23.51,255,,,,
23.51,255,,,,
23.53,255,,,,
23.55,255,,,,
23.58,255,,,,
23.64,255,,,,
23.72,255,,,,
23.83,255,,,,
23.95,255,,,,
24.11,255,,,,
24.28,255,,,,
24.49,255,,,,
24.72,255,,,,
24.96,255,,,,
25.23,255,,,,
25.52,255,,,,
25.84,255,,,,
26.17,255,,,,
26.51,255,,,,
26.89,255,,,,
27.25,255,,,,
27.64,255,,,,
28.04,255,,,,
28.44,255,,,,
28.89,255,,,,
29.32,255,,,,
29.81,255,,,,
30.31,255,,,,
30.82,255,,,,
31.31,255,,,,
31.8,255,,,,
32.32,255,,,,
32.98,255,,,,
33.42,255,,,,
33.99,255,,,,
34.56,255,,,,
35.13,255,,,,
35.7,255,,,,
36.25,255,,,,
36.82,255,,,,
37.37,255,,,,
37.93,255,,,,
38.48,255,,,,
39.05,255,,,,
39.62,255,,,,
40.19,255,,,,
40.77,255,,,,
41.35,255,,,,
41.94,255,,,,
42.54,255,,,,
43.13,255,,,,
43.73,255,,,,
44.32,255,,,,
44.96,255,,,,
45.57,255,,,,
46.19,255,,,,
46.81,255,,,,
47.43,255,,,,
48.06,255,,,,
48.68,255,,,,
49.3,255,,,,
49.91,255,,,,
50.53,255,,,,
51.15,255,,,,
51.79,255,,,,
52.4,255,,,,
53.06,255,,,,
53.69,255,,,,
54.31,255,,,,
54.95,255,,,,
55.56,255,,,,
56.18,255,,,,
56.81,255,,,,
57.43,255,,,,
58.07,255,,,,
58.69,255,,,,
59.34,255,,,,
59.94,255,,,,
60.56,255,,,,
61.2,255,,,,
61.82,255,,,,
62.45,255,,,,
63.09,255,,,,
63.79,255,,,,
64.38,252.6,,,,
65.02,238.71,,,,
65.6,228.06,,,,
66.2,215.34,,,,
66.78,202.86,,,,
67.94,163.78,,,,
67.85,195.87,,,,
68.51,161.54,,,,
69.27,142.21,,,,
70.55,100.73,,,,
70.27,142.37,,,,
70.96,101.49,,,,
72.23,58.1,,,,
73.08,47.4,,,,
72.91,72.4,,,,
73.98,15.51,,,,
75,0,,,,
75.59,0,,,,
76.19,0,,,,
76.78,0,,,,
77.33,0,,,,
77.91,0,,,,
78.46,0,,,,
78.93,0,,,,
79.44,0,,,,
79.85,0,,,,
80.28,0,,,,
80.76,0,,,,
81.17,0,,,,
81.53,0,,,,
81.96,0,,,,
82.28,0,,,,
82.59,0,,,,
82.92,0,,,,
83.21,0,,,,
83.4,0,,,,
83.67,0,,,,
83.94,0,,,,
84.07,0,,,,
84.32,0,,,,
84.46,0,,,,
84.71,0,,,,
84.77,0,,,,
84.92,0,,,,
85.08,0,,,,
85.13,0,,,,
85.23,0,,,,
85.34,0,,,,
85.41,0,,,,
85.45,0,,,,
85.48,0,,,,
85.49,0,,,,
85.55,0,,,,
85.59,0,,,,
85.58,0,,,,
85.57,0,,,,
85.59,0,,,,
85.56,0,,,,
85.55,0,,,,
85.48,0,,,,
85.5,0,,,,
85.47,0,,,,
85.42,0,,,,
85.37,0,,,,
85.31,0,,,,
85.18,0,,,,
85.14,0,,,,
85.09,0,,,,
85.04,0,,,,
84.86,0,,,,
84.76,0,,,,
84.73,0,,,,
84.59,0,,,,
84.45,0,,,,
84.37,0,,,,
84.25,0,,,,
84.08,0,,,,
84.03,0,,,,
83.94,0,,,,
83.76,0,,,,
83.65,0,,,,
83.45,0,,,,
83.35,0,,,,
83.26,0,,,,
83.05,0,,,,
82.96,0,,,,
82.75,0,,,,
82.65,0,,,,
82.46,0,,,,
82.32,0,,,,
82.16,0,,,,
82.01,0,,,,
81.87,0,,,,
81.67,0,,,,
81.5,0,,,,
81.36,0,,,,
81.23,0,,,,
81.05,0,,,,
80.92,0,,,,
80.73,0,,,,
80.55,0,,,,
80.42,0,,,,
80.22,0,,,,
80.08,0,,,,
79.85,0,,,,
79.75,0,,,,
79.52,0,,,,
79.37,0,,,,
79.19,0,,,,
79.03,0,,,,
78.87,0,,,,
78.66,0,,,,
78.52,0,,,,
78.32,0,,,,
78.19,0,,,,
78.01,0,,,,
77.83,0,,,,
77.7,0,,,,
77.45,0,,,,
77.3,0,,,,
77.12,0,,,,
76.93,0,,,,
76.78,0,,,,
76.59,0,,,,
76.44,0,,,,
76.26,0,,,,
76.08,0,,,,
75.92,0,,,,
75.76,0,,,,
75.57,0,,,,
75.39,0,,,,
75.22,0,,,,
75.03,0,,,,
74.89,0,,,,
74.69,0,,,,
74.52,0,,,,
74.37,0,,,,
74.19,0,,,,
74.01,0,,,,
73.85,0,,,,
73.66,0,,,,
73.5,0,,,,
73.38,0,,,,
73.14,0,,,,
73,0,,,,
72.87,0,,,,
72.66,0,,,,
72.49,0,,,,
72.37,0,,,,
72.17,0,,,,
72.03,0,,,,
71.86,0,,,,
71.69,0,,,,
71.51,0,,,,
71.38,0,,,,
71.2,0,,,,
71.03,0,,,,
70.9,0,,,,
70.72,0,,,,
70.53,0,,,,
70.41,0,,,,
70.26,0,,,,
70.06,0,,,,
69.96,0,,,,
69.8,0,,,,
69.61,0,,,,
69.44,0,,,,
69.3,0,,,,
69.14,0,,,,
68.99,0,,,,
68.85,0,,,,
68.67,0,,,,
68.53,0,,,,
68.42,0,,,,
68.25,0,,,,
68.11,0,,,,
67.98,0,,,,
67.82,0,,,,
67.63,0,,,,
67.52,0,,,,
67.38,0,,,,
67.2,0,,,,
67.06,0,,,,
66.93,0,,,,
66.85,0,,,,
66.71,0,,,,
66.55,0,,,,
66.41,0,,,,
66.28,0,,,,
66.13,0,,,,
65.95,0,,,,
65.86,0,,,,
65.72,0,,,,
65.56,0,,,,
65.42,0,,,,
65.29,0,,,,
65.14,0.96,,,,
65.03,2.36,,,,
64.91,4.87,,,,
64.75,9.3,,,,
64.29,26.19,,,,
64.49,5.9,,,,
64.35,17.43,,,,
64.23,20.17,,,,
64.1,22.99,,,,
63.58,44.24,,,,
63.77,22.96,,,,
63.73,30.36,,,,
63.47,41.72,,,,
62.92,61.02,,,,
62.65,60.68,,,,
62.52,61.13,,,,
62.46,61.73,,,,
62.34,66.71,,,,
62.3,67.03,,,,
62.2,72.04,,,,
62.13,74.03,,,,
62.1,75.22,,,,
62.47,58.99,,,,
62.66,60.6,,,,
62.63,68.19,,,,
62.63,68.71,,,,
62.07,95.06,,,,
62.29,72.82,,,,
62.59,65.66,,,,
62.69,70.29,,,,
62.77,69.88,,,,
62.21,98.66,,,,
62.44,75.49,,,,
62.86,63.66,,,,
62.99,69,,,,
63.07,69.78,,,,
62.62,93.41,,,,
62.94,68.5,,,,
63.35,59.15,,,,
63.56,60.29,,,,
63.69,60.52,,,,
63.22,85.81,,,,
63.67,54.58,,,,
64.12,45.99,,,,
64.26,51.32,,,,
64.4,48.81,,,,
64.01,70.24,,,,
64.47,40.05,,,,
64.91,32.02,,,,
65.11,33.95,,,,
65.27,31.42,,,,
65.02,46.77,,,,
65.47,19.98,,,,
65.76,17.8,,,,
65.93,17.11,,,,
66.11,12.64,,,,
65.93,24.56,,,,
66.43,0,,,,
66.55,3.37,,,,
66.72,0,,,,
66.87,0,,,,
66.98,0,,,,
67.11,0,,,,
67.19,0,,,,
67.3,0,,,,
67.41,0,,,,
67.53,0,,,,
67.61,0,,,,
67.7,0,,,,
67.81,0,,,,
67.83,0,,,,
67.93,0,,,,
67.97,0,,,,
68.02,0,,,,
68.07,0,,,,
68.06,0,,,,
68.09,0,,,,
68.14,0,,,,
68.19,0,,,,
68.17,0,,,,
68.17,0,,,,
68.17,0,,,,
68.17,0,,,,
68.15,0,,,,
68.12,0,,,,
68.1,0,,,,
68.07,0,,,,
68.03,0,,,,
68.03,0,,,,
68.01,0,,,,
67.95,0,,,,
67.91,0,,,,
67.83,0,,,,
67.81,0,,,,
67.79,0,,,,
67.72,0,,,,
67.63,0,,,,
67.59,0,,,,
67.57,0,,,,
67.47,0,,,,
67.38,0,,,,
67.32,0,,,,
67.25,0,,,,
67.17,0,,,,
67.11,0,,,,
67.02,0,,,,
66.96,0,,,,
66.94,0,,,,
66.85,0,,,,
66.75,0,,,,
66.66,0,,,,
66.55,0,,,,
66.52,0,,,,
66.41,0,,,,
66.33,0,,,,
66.2,0,,,,
66.13,0,,,,
66.04,0,,,,
65.94,0,,,,
65.84,0,,,,
65.74,0,,,,
65.65,0,,,,
65.54,0,,,,
65.45,0,,,,
65.34,0,,,,
65.26,0,,,,
65.14,0.26,,,,
65.06,0.75,,,,
64.94,4.5,,,,
64.84,5.85,,,,
64.73,8.49,,,,
64.21,29.13,,,,
63.96,28.34,,,,
63.86,27.2,,,,
63.75,29.89,,,,
63.64,32.97,,,,
63.52,36.59,,,,
63.38,40.4,,,,
63.29,41.93,,,,
63.21,43.95,,,,
63.72,19.82,,,,
63.63,37.17,,,,
63.55,39.46,,,,
63.52,39.65,,,,
63.01,62.37,,,,
63.18,43.47,,,,
63.33,41.21,,,,
63.28,48.58,,,,
63.24,49.74,,,,
62.75,71.82,,,,
62.94,52.47,,,,
63.14,48.86,,,,
63.16,53.65,,,,
63.14,56.25,,,,
62.83,70.92,,,,
62.88,61.77,,,,
63.13,52.72,,,,
63.18,57.71,,,,
63.2,58.98,,,,
62.9,74.17,,,,
62.96,64.57,,,,
63.27,53.26,,,,
63.38,57.01,,,,
63.42,58.57,,,,
62.98,80.27,,,,
63.23,59.26,,,,
63.68,45.72,,,,
63.76,53.83,,,,
63.85,52.55,,,,
63.38,76.47,,,,
63.76,48.7,,,,
64.16,40.26,,,,
64.29,44.78,,,,
64.39,43.83,,,,
64.03,63.23,,,,
64.46,34.85,,,,
64.76,32.6,,,,
64.9,33.79,,,,
65.02,31.53,,,,
64.71,48.88,,,,
65.18,19.98,,,,
65.38,22.3,,,,
65.51,21.17,,,,
65.65,18.18,,,,
65.43,31.25,,,,
65.89,4.19,,,,
66.01,10.27,,,,
66.13,6.85,,,,
66.27,3.48,,,,
66.36,2.01,,,,
66.23,9.39,,,,
66.02,15.09,,,,
66.15,3.22,,,,
67.22,0,,,,
66.79,2.67,,,,
66.48,4.95,,,,
66.27,6.46,,,,
66.95,0,,,,
67.13,0,,,,
67.14,0,,,,
67.18,0,,,,
67.21,0,,,,
67.25,0,,,,
67.3,0,,,,
67.34,0,,,,
67.35,0,,,,
67.38,0,,,,
67.38,0,,,,
67.37,0,,,,
67.38,0,,,,
67.37,0,,,,
67.36,0,,,,
67.35,0,,,,
67.35,0,,,,
67.32,0,,,,
67.29,0,,,,
67.23,0,,,,
67.2,0,,,,
67.16,0,,,,
67.15,0,,,,
67.1,0,,,,
67.03,0,,,,
66.99,0,,,,
66.98,0,,,,
66.94,0,,,,
66.92,0,,,,
66.82,0,,,,
66.76,0,,,,
66.72,0,,,,
66.62,0,,,,
66.57,0,,,,
66.53,0,,,,
66.42,0,,,,
66.35,0,,,,
66.29,0,,,,
66.18,0,,,,
66.12,0,,,,
66.05,0,,,,
65.95,0,,,,
65.89,0,,,,
65.76,0,,,,
65.71,0,,,,
65.61,0,,,,
65.51,0,,,,
65.45,0,,,,
65.34,0,,,,
65.27,0,,,,
65.15,0,,,,
65.09,0,,,,
64.97,3.49,,,,
65.54,0,,,,
64.79,23.04,,,,
64.17,32.5,,,,
63.96,26.97,,,,
63.91,24.73,,,,
63.82,28.12,,,,
63.73,30.24,,,,
63.62,33.97,,,,
64.14,8.23,,,,
64,27.93,,,,
63.93,27.94,,,,
63.85,30.68,,,,
63.34,52.36,,,,
63.6,28.69,,,,
63.61,35.15,,,,
63.56,38.65,,,,
63.52,39.77,,,,
63.05,61.03,,,,
63.24,41.31,,,,
63.36,41.75,,,,
63.33,46.7,,,,
63.29,49.11,,,,
62.81,70.57,,,,
62.96,52.54,,,,
63.18,47.58,,,,
63.21,52.38,,,,
63.21,54.29,,,,
62.72,77.56,,,,
62.94,56.02,,,,
63.21,50.61,,,,
63.29,54.56,,,,
63.32,55.85,,,,
62.85,78.88,,,,
63.06,59.04,,,,
63.47,46.01,,,,
63.54,54.47,,,,
63.58,54.82,,,,
63.13,76.88,,,,
63.46,51.72,,,,
63.81,44.91,,,,
63.92,48.95,,,,
63.99,49.21,,,,
63.6,69.22,,,,
63.97,43.43,,,,
64.33,36.77,,,,
64.42,42.03,,,,
64.53,39.58,,,,
64.21,56.9,,,,
64.6,31.68,,,,
64.91,27.48,,,,
64.98,32.23,,,,
65.13,27.06,,,,
64.87,42.67,,,,
65.26,18.5,,,,
65.49,17.34,,,,
65.6,18.06,,,,
65.74,14.23,,,,
65.53,26.83,,,,
65.94,2.54,,,,
66.06,7.01,,,,
66.15,5.35,,,,
66.3,0.3,,,,
66.35,1.09,,,,
66.46,0,,,,
66.54,0,,,,
66.64,0,,,,
66.72,0,,,,
66.79,0,,,,
66.86,0,,,,
66.92,0,,,,
66.96,0,,,,
67.01,0,,,,
66.98,0,,,,
67.11,0,,,,
67.05,0,,,,
67.1,0,,,,
67.1,0,,,,
67.11,0,,,,
67.12,0,,,,
67.13,0,,,,
67.13,0,,,,
67.11,0,,,,
67.07,0,,,,
67.11,0,,,,
67.06,0,,,,
67.02,0,,,,
66.99,0,,,,
67.01,0,,,,
66.93,0,,,,
66.95,0,,,,
66.92,0,,,,
66.86,0,,,,
66.78,0,,,,
66.77,0,,,,
66.72,0,,,,
66.64,0,,,,
66.59,0,,,,
66.53,0,,,,
66.49,0,,,,
66.39,0,,,,
66.33,0,,,,
66.26,0,,,,
66.18,0,,,,
66.11,0,,,,
66.06,0,,,,
65.95,0,,,,
65.9,0,,,,
65.8,0,,,,
65.72,0,,,,
65.65,0,,,,
65.54,0,,,,
65.46,0,,,,
65.36,0,,,,
65.31,0,,,,
65.23,0,,,,
65.12,0.26,,,,
65.05,0.97,,,,
64.93,4.28,,,,
64.85,5.04,,,,
64.74,8.34,,,,
64.66,9.37,,,,
64.56,11.93,,,,
64.48,13.44,,,,
64.09,29.31,,,,
64.3,10.55,,,,
64.17,21.78,,,,
64.08,23.13,,,,
63.36,54.4,,,,
63.9,12.28,,,,
63.82,30.11,,,,
63.01,65.75,,,,
63.61,18.89,,,,
63.55,37.29,,,,
62.79,71.5,,,,
63.37,26.78,,,,
63.38,42.06,,,,
62.59,78.56,,,,
63.2,32.69,,,,
63.2,48.71,,,,
62.44,84.19,,,,
63.09,36.68,,,,
63.13,52.12,,,,
62.38,88.43,,,,
63.03,41.31,,,,
63.1,55.12,,,,
62.37,91.26,,,,
63.07,42.49,,,,
63.17,56.47,,,,
62.44,93.2,,,,
63.17,42.6,,,,
63.25,58.52,,,,
62.57,92.04,,,,
63.33,41.64,,,,
63.45,56.38,,,,
62.8,89.4,,,,
63.56,39.75,,,,
63.69,53.58,,,,
63.04,87.25,,,,
63.89,32.86,,,,
64,50.13,,,,
63.17,90.8,,,,
64.21,23.64,,,,
64.32,45.15,,,,
63.72,75.56,,,,
64.56,23.17,,,,
64.73,36.41,,,,
64.09,69.77,,,,
64.97,14.49,,,,
65.13,29.18,,,,
64.49,61.95,,,,
65.37,6.39,,,,
65.53,21.03,,,,
65.63,20.1,,,,
65.8,14.57,,,,
65.94,11.95,,,,
65.83,20.02,,,,
66.23,0,,,,
66.34,3.19,,,,
66.49,0,,,,
66.58,0,,,,
66.74,0,,,,
66.8,0,,,,
66.93,0,,,,
67,0,,,,
67.11,0,,,,
67.14,0,,,,
67.18,0,,,,
67.25,0,,,,
67.34,0,,,,
67.36,0,,,,
67.39,0,,,,
67.42,0,,,,
67.5,0,,,,
67.51,0,,,,
67.55,0,,,,
67.56,0,,,,
67.58,0,,,,
67.57,0,,,,
67.58,0,,,,
67.56,0,,,,
67.56,0,,,,
67.53,0,,,,
67.5,0,,,,
67.48,0,,,,
67.41,0,,,,
67.4,0,,,,
67.38,0,,,,
67.34,0,,,,
67.3,0,,,,
67.23,0,,,,
67.18,0,,,,
67.15,0,,,,
67.09,0,,,,
67.04,0,,,,
66.97,0,,,,
66.96,0,,,,
66.91,0,,,,
66.82,0,,,,
66.76,0,,,,
66.7,0,,,,
66.61,0,,,,
66.53,0,,,,
66.47,0,,,,
66.36,0,,,,
66.33,0,,,,
66.22,0,,,,
66.13,0,,,,
66.06,0,,,,
65.96,0,,,,
65.89,0,,,,
65.78,0,,,,
65.72,0,,,,
65.63,0,,,,
65.51,0,,,,
65.44,0,,,,
65.32,0,,,,
65.28,0,,,,
65.13,1.2,,,,
65.07,0,,,,
64.94,4.62,,,,
64.88,4.16,,,,
64.74,8.74,,,,
64.67,8.73,,,,
64.55,12.83,,,,
64.37,18.09,,,,
64.37,13.92,,,,
63.73,43.19,,,,
64.16,8.32,,,,
64.07,23.73,,,,
63.94,27.84,,,,
63.87,28.24,,,,
63.12,60.94,,,,
63.69,17.42,,,,
63.58,37.13,,,,
62.81,70.63,,,,
63.4,25.25,,,,
63.38,41.58,,,,
62.59,78.11,,,,
63.19,32.3,,,,
63.19,47.97,,,,
62.44,83.03,,,,
63.07,37,,,,
63.1,52.31,,,,
62.34,88.49,,,,
63,40.83,,,,
63.04,56.46,,,,
62.32,91.39,,,,
63,43.76,,,,
63.01,61.22,,,,
62.37,91.54,,,,
63.07,45.29,,,,
63.16,59.35,,,,
62.46,94.47,,,,
63.2,44.67,,,,
63.33,58.01,,,,
62.65,92.97,,,,
63.39,43.62,,,,
63.57,54.76,,,,
62.9,90.63,,,,
63.71,37.71,,,,
63.83,53.17,,,,
63.21,85.34,,,,
64.08,30.84,,,,
64.18,48.55,,,,
63.57,79.07,,,,
64.47,23.76,,,,
64.57,42.21,,,,
63.96,72.31,,,,
64.86,16.57,,,,
64.97,34.38,,,,
64.36,64.92,,,,
65.28,7.96,,,,
64.44,69.31,,,,
65.33,7.68,,,,
65.69,13.46,,,,
65.82,16.27,,,,
65.96,12.81,,,,
65.8,22.99,,,,
66.25,0,,,,
66.37,3.27,,,,
66.52,0,,,,
66.61,0,,,,
66.76,0,,,,
66.88,0,,,,
66.97,0,,,,
67.06,0,,,,
67.11,0,,,,
67.18,0,,,,
67.27,0,,,,
67.37,0,,,,
67.42,0,,,,
67.47,0,,,,
67.53,0,,,,
67.57,0,,,,
67.6,0,,,,
67.62,0,,,,
67.63,0,,,,
67.65,0,,,,
67.7,0,,,,
67.68,0,,,,
67.69,0,,,,
67.71,0,,,,
67.69,0,,,,
67.68,0,,,,
67.64,0,,,,
67.63,0,,,,
67.61,0,,,,
67.58,0,,,,
67.56,0,,,,
67.53,0,,,,
67.47,0,,,,
67.43,0,,,,
67.39,0,,,,
67.37,0,,,,
67.3,0,,,,
67.24,0,,,,
67.18,0,,,,
67.15,0,,,,
67.06,0,,,,
66.98,0,,,,
66.98,0,,,,
66.95,0,,,,
66.88,0,,,,
66.78,0,,,,
66.7,0,,,,
66.64,0,,,,
66.54,0,,,,
66.48,0,,,,
66.4,0,,,,
66.34,0,,,,
66.23,0,,,,
66.14,0,,,,
66.08,0,,,,
65.99,0,,,,
65.89,0,,,,
65.78,0,,,,
65.72,0,,,,
65.61,0,,,,
65.52,0,,,,
65.41,0,,,,
65.32,0,,,,
65.26,0,,,,
65.13,0.88,,,,
65.08,0,,,,
64.95,4.46,,,,
64.88,4.17,,,,
64.73,9.36,,,,
64.66,8.79,,,,
64.56,12.11,,,,
63.79,44.38,,,,
64.34,0.99,,,,
64.27,18.37,,,,
64.08,25.52,,,,
64.06,22.29,,,,
63.29,56.91,,,,
63.86,13.06,,,,
63.76,31.9,,,,
62.98,66.02,,,,
63.56,20.75,,,,
63.55,36.44,,,,
62.73,74.43,,,,
63.32,28.21,,,,
63.32,43.59,,,,
62.53,80.56,,,,
63.14,34.18,,,,
63.16,49.54,,,,
62.4,85.64,,,,
63.03,39.31,,,,
63.04,55.13,,,,
62.32,89.51,,,,
63,41.87,,,,
63.01,59.5,,,,
62.32,91.91,,,,
63.01,44.7,,,,
63.08,59.87,,,,
62.43,92.13,,,,
63.15,44.29,,,,
63.21,60.7,,,,
62.56,92.55,,,,
63.29,44.05,,,,
63.4,58.49,,,,
62.75,91.3,,,,
63.52,41.4,,,,
63.66,55.07,,,,
63.02,88.24,,,,
63.87,34.62,,,,
63.97,51.69,,,,
63.33,83.78,,,,
64.19,29.87,,,,
64.33,45.25,,,,
64.46,43.23,,,,
64.57,41.74,,,,
64.28,57.82,,,,
64.74,29.99,,,,
64.98,30.51,,,,
65.12,30.5,,,,
65.28,26.38,,,,
64.99,43.36,,,,
65.5,13.14,,,,
